time,load_average_1min,load_average_5min,load_average_15min,total_tasks,running_tasks,sleeping_tasks,cpu_user,cpu_system,cpu_nice,cpu_idle,cpu_wait,cpu_si,memory_total,memory_free,memory_used,memory_buff,vm_total,vm_free,vm_used,memory_available,captured_packets,multilabel
61948,4.43,155.48,260.96,21,1,20,100,0,0,0,0,0,7957.8,1057.5,2869.8,4030.5,947.2,947.2,0,4769.8,0,normal
75024,2.2,2.73,2.96,21,1,20,100,0,0,0,0,0,7957.8,252.2,3008.2,4697.3,947.2,947.2,0,4621.2,0,normal
72002,2.99,3.49,6.04,21,1,20,87.5,12.5,0,0,0,0,7957.8,889.4,2729.8,4338.5,947.2,947.2,0,4899.2,0,normal
414,2.91,2.39,2.56,21,1,20,100,0,0,0,0,0,7957.8,837.7,2655,4465.1,947.2,947.2,0,4993.2,0,normal
83306,3.74,3.12,2.92,21,1,20,100,0,0,0,0,0,7957.8,843.2,2655.8,4458.8,947.2,947.2,0,4992.4,0,normal
2403,2.7,2.68,2.85,21,1,20,100,0,0,0,0,0,7957.8,757,2731.9,4468.9,947.2,947.2,0,4916.3,0,normal
10524,2.78,2.82,2.85,21,1,20,100,0,0,0,0,0,7957.8,334.6,2829.8,4793.4,947.2,947.2,0,4818.3,0,normal
38220,3.19,6.73,6.45,21,1,20,85.7,14.3,0,0,0,0,7957.8,444.4,3941.3,3572,947.2,946.5,0.8,3700.5,0,normal
30041,3.28,5.41,3.43,21,2,19,3.3,0,0,96.7,0,0,7957.8,902,2373.1,4682.6,947.2,947.2,0,5268.8,0,normal
55194,2.72,3.52,14.15,21,1,20,100,0,0,0,0,0,7957.8,850.5,3133.9,3973.3,947.2,946.7,0.5,4512.4,0,normal
78781,2.06,2.34,2.46,21,2,19,100,0,0,0,0,0,7957.8,1073.9,2449.4,4434.5,947.2,947.2,0,5198.4,0,normal
9475,1.86,2.43,2.73,21,1,20,100,0,0,0,0,0,7957.8,335.1,2830.9,4791.8,947.2,947.2,0,4817.3,0,normal
4253,3.62,3.58,3.41,21,1,20,100,0,0,0,0,0,7957.8,648.2,2750.6,4558.9,947.2,947.2,0,4897.6,0,normal
72128,2.45,3.13,5.58,21,2,19,24,8,0,0,0,68,7957.8,871.9,2732.9,4352.9,947.2,947.2,0,4896.1,2563,malware
65160,3.2,3.27,11.17,21,1,20,100,0,0,0,0,0,7957.8,578.4,3342.6,4036.7,947.2,947.2,0,4297.6,0,normal
9069,2.51,2.65,2.86,21,1,20,100,0,0,0,0,0,7957.8,335.6,2830.9,4791.2,947.2,947.2,0,4817.2,0,normal
4584,3.5,3.53,3.42,21,2,19,100,0,0,0,0,0,7957.8,646,2751.8,4559.9,947.2,947.2,0,4896.3,0,normal
72108,2.2,3.12,5.62,21,4,17,50,50,0,0,0,0,7957.8,891.5,2727.7,4338.6,947.2,947.2,0,4901.4,0,normal
1922,3.52,3.16,3.02,21,2,19,100,0,0,0,0,0,7957.8,833.3,2656.5,4468,947.2,947.2,0,4991.7,0,normal
61808,22.29,243.03,301.45,21,2,19,100,0,0,0,0,0,7957.8,1055.5,2871.9,4030.4,947.2,947.2,0,4767.6,0,normal
70533,2.8,3.58,16.49,21,5,16,100,0,0,0,0,0,7957.8,916.4,2706.1,4335.2,947.2,947.2,0,4922.9,0,normal
7802,3.92,3.31,3.1,21,1,20,100,0,0,0,0,0,7957.8,477.3,2817.8,4662.6,947.2,947.2,0,4830.3,0,normal
82277,3.98,3.15,2.86,21,2,19,0,0,0,100,0,0,7957.8,906.2,2595.1,4456.4,947.2,947.2,0,5053.1,0,normal
64384,2.41,2.63,21.47,21,1,20,100,0,0,0,0,0,7957.8,580.9,3341.4,4035.5,947.2,947.2,0,4298.5,0,normal
63030,2.47,6.73,83.07,21,1,20,100,0,0,0,0,0,7957.8,1043.1,2881.2,4033.4,947.2,947.2,0,4758.3,0,normal
72886,3.8,3.22,4.24,21,1,20,100,0,0,0,0,0,7957.8,512.9,2928,4516.9,947.2,947.2,0,4701.4,0,normal
77280,3.28,3.04,1.67,21,1,20,100,0,0,0,0,0,7957.8,1335.3,2191.2,4431.2,947.2,947.2,0,5456.7,0,normal
72141,3.56,3.34,5.61,21,2,19,28.6,57.1,0,0,0,14.3,7957.8,853.7,2733.4,4370.6,947.2,947.2,0,4895.6,1340,malware
33482,3.64,3.37,3.3,21,4,17,0,100,0,0,0,0,7957.8,116.5,3122,4719.3,947.2,947,0.3,4519.9,0,normal
40043,16.15,8.01,8.74,21,1,20,78.6,21.4,0,0,0,0,7957.8,185.4,4123.2,3649.2,947.2,946.5,0.8,3518.7,0,normal
34944,2.78,3.04,3.09,21,1,20,100,0,0,0,0,0,7957.8,124.1,3186.5,4647.2,947.2,947,0.3,4455.4,0,normal
3459,4.81,3.81,3.4,21,1,20,100,0,0,0,0,0,7957.8,652.7,2747.7,4557.3,947.2,947.2,0,4900.5,0,normal
84946,3.2,3.04,2.98,21,1,20,0,0,0,100,0,0,7957.8,845.4,2650.5,4461.9,947.2,947.2,0,4997.7,0,normal
55415,2.39,3.13,11.76,21,1,20,100,0,0,0,0,0,7957.8,835.1,3143.2,3979.5,947.2,946.7,0.5,4503.2,81,normal
30353,3.65,4.39,3.54,21,1,20,0,100,0,0,0,0,7957.8,621,2522.1,4814.7,947.2,947.2,0,5119.8,0,normal
37066,3.26,3.5,4.35,21,1,20,92.3,0,0,7.7,0,0,7957.8,118.3,3608.4,4231.1,947.2,946.7,0.5,4033.5,10,normal
10908,2.12,2.82,2.9,21,1,20,100,0,0,0,0,0,7957.8,332.4,2831.5,4793.9,947.2,947.2,0,4816.7,0,normal
10003,2.93,2.85,2.81,21,1,20,100,0,0,0,0,0,7957.8,333.8,2831.3,4792.6,947.2,947.2,0,4816.8,0,normal
9782,2.87,2.71,2.77,21,1,20,92.3,7.7,0,0,0,0,7957.8,334.4,2831.1,4792.3,947.2,947.2,0,4817,0,normal
85766,2.44,2.87,2.97,21,1,20,100,0,0,0,0,0,7957.8,841.7,2652.5,4463.5,947.2,947.2,0,4995.6,0,normal
79382,2.66,2.68,2.58,21,1,20,100,0,0,0,0,0,7957.8,1055.5,2451.1,4451.1,947.2,947.2,0,5196.7,0,normal
83135,2.38,2.6,2.75,21,2,19,100,0,0,0,0,0,7957.8,844,2655.5,4458.3,947.2,947.2,0,4992.7,0,normal
84259,3.46,2.89,2.96,21,2,19,66.7,33.3,0,0,0,0,7957.8,846.2,2650.8,4460.7,947.2,947.2,0,4997.3,0,normal
38611,7.89,8.36,7.33,21,1,20,100,0,0,0,0,0,7957.8,417,3953.8,3586.9,947.2,946.5,0.8,3688.1,0,normal
69528,2.88,24.56,43.22,21,1,20,100,0,0,0,0,0,7957.8,1000.2,2624.3,4333.2,947.2,947.2,0,5004.7,0,normal
